gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
RPL22P2,209.62610398504424,0.9181269209982039,0.28126082150322335,4.5011134695554054e-5,0.0112296350903308
CD36,69.65573128930446,-1.212400060476548,0.37818690017689977,5.076554957093577e-5,0.012486895178969327
LINC00442,17.382877025130455,-2.7864062560671816,0.8584597084241271,5.409934729445593e-5,0.01296611236009874
RAB3B,5045.482510335094,-0.7871141849987733,0.2437212389202976,5.4306905334645886e-5,0.01296611236009874
INSM2,30.132001293733612,2.107727704090621,0.664681637682673,5.552341383099829e-5,0.01296611236009874
NT5DC3,8576.37719787418,-0.8382596119934237,0.2612368525306813,5.568360209616385e-5,0.01296611236009874
STAB2,245.0073938987954,-1.307113888110997,0.414712939254125,5.7459037231068495e-5,0.013203481923728687
SRPX2,41.1063094997649,-1.4543038056008661,0.46098582338870997,5.979617998073763e-5,0.01325850032187712
OMD,26.18175716556021,-2.1319779824506937,0.6767333149366236,5.9921993690726706e-5,0.01325850032187712
LINC00668,104.10672459346439,-1.4628499276480642,0.4678824398533492,6.063331467964375e-5,0.01325850032187712
NUTM2A,178.63535632944414,-1.1583041807503531,0.3680479766232166,6.0735228226647366e-5,0.01325850032187712
PFDN4,1305.15072810482,0.8425060166650354,0.2652975024341171,6.182290134763804e-5,0.01332932282882902
GCNT7,44.75671330044969,-1.4363201288869063,0.45795384480265183,6.354417831151567e-5,0.01353336012234524
ACSL3,9075.417829197695,-1.1990572633356789,0.38631939423314754,6.774469036357716e-5,0.014230047069733992
UGT1A3,14.432389969541317,-2.9786657436312836,0.9309493572120905,6.844502713339758e-5,0.014230047069733992
HABP2,59.625418522694,1.3267987890503263,0.431219889393042,7.606803707329019e-5,0.015586461276510524
RILPL2,164.87548949091584,1.0610780014935788,0.343945812269502,7.675421837951815e-5,0.015586461276510524
TSHZ2,48.167338673756035,-1.3870530654953672,0.453039363189249,8.094072519837849e-5,0.016247687642120482
ANPEP,227.6654189306116,-1.3109707417754792,0.43187148958158705,8.206228741376197e-5,0.0162856339476584
SNRPE,985.6081898284,0.6709598514668866,0.21603216258630567,8.669182891752116e-5,0.01696936172949975
ZSCAN23,108.92782914958919,-1.1584995164019045,0.38169969487278355,8.745090217905278e-5,0.01696936172949975
ADCYAP1,188.76172913730235,1.0382707459155778,0.34578701746573587,1.0105579313677409e-4,0.019205644909022813
PLP1,21.34297246016236,-2.1498794715031257,0.7186677391679035,1.011749502765746e-4,0.019205644909022813
CXCR6,29.15060490040204,-1.797940377331555,0.6108169978238417,1.118946191872839e-4,0.021012125048244363
RNU6-407P,11.370030015629451,-3.08081741112243,0.9926912270013166,1.1378904904864358e-4,0.02114055268707991
DISP2,758.5850895468333,-0.7086584086547866,0.2379098519259934,1.2183715541785879e-4,0.022397516654920905
CNKSR2,483.57140930606323,-0.7972577838758009,0.27212836279380714,1.335854837425968e-4,0.024301425917507398
CC2D2B,40.5251140665713,-1.4648685784966773,0.5076154347318834,1.3541906779471327e-4,0.024381016494503843
ZEB2,69.99374208615332,-1.2796673965071101,0.44387757549336854,1.3742889890600734e-4,0.024461983537205752
BSND,44.89734529853981,-0.08973241335196339,0.17535521451098462,1.3867019985017002e-4,0.024461983537205752
VAV3,784.6246661896135,0.8299865288070178,0.2860772012256707,1.4704441612972108e-4,0.02552991310033512
